panel,id,kind,bundle_label,display_label,status
modern_factors,v2mefemjrn,singleton,v2mefemjrn,Female journalists,CODEBOOK
modern_factors,v2pscomprg,singleton,v2pscomprg,Party competition across regions,CODEBOOK
modern_factors,v2psnatpar,singleton,v2psnatpar,National party control,CODEBOOK
modern_factors,v2stfisccap,singleton,v2stfisccap,State fiscal capacity,CODEBOOK
modern_factors,v2strenadm,singleton,v2strenadm,Bureaucratic remuneration,CODEBOOK
modern_factors,v2strenarm,singleton,v2strenarm,Remuneration in the armed forces,CODEBOOK
modern_factors,v2svdomaut,singleton,v2svdomaut,Domestic autonomy,CODEBOOK
modern_factors,v2svinlaut,singleton,v2svinlaut,International autonomy,CODEBOOK
modern_factors,v2svstterr,singleton,v2svstterr,State authority over territory,CODEBOOK
modern_factors,v2x_elecoff,singleton,v2x_elecoff,Elected officials index,CODEBOOK
modern_factors,v2xdd_dd,singleton,v2xdd_dd,Direct popular vote index,CODEBOOK
modern_factors,v2xel_regelec,singleton,v2xel_regelec,Regional elections index,CODEBOOK
modern_factors,wb_agri_land_share,singleton,Agricultural land share,Agricultural land share,KEEP
modern_factors,wb_oil_rents_gdp,singleton,Oil rents (% GDP),Oil rents (% GDP),KEEP
modern_factors,wb_pop_density,singleton,Population density,Population density,KEEP
modern_factors,wb_rural_pop_growth,singleton,Rural population growth,Rural population growth,KEEP
modern_factors,wpp_net_migrants,singleton,Net migrants,Net migrants,KEEP
modern_factors,wpp_sex_ratio_jul,singleton,Sex ratio,Sex ratio,KEEP
